index	identifier	file	description
1	MH63_flag_leaf_1	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_flag_leaf_1_rmdup_cut.bw	MH63_flag_leaf_1
2	MH63_flag_leaf_2	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_flag_leaf_2_rmdup_cut.bw	MH63_flag_leaf_2
3	MH63_flower_1c_1	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_flower_1c_1_rmdup_cut.bw	MH63_flower_1c_1
4	MH63_flower_1c_2	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_flower_1c_2_rmdup_cut.bw	MH63_flower_1c_2
5	MH63_flower_2c_1	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_flower_2c_1_rmdup_cut.bw	MH63_flower_2c_1
6	MH63_flower_2c_2	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_flower_2c_2_rmdup_cut.bw	MH63_flower_2c_2
7	MH63_lemma_1	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_lemma_1_rmdup_cut.bw	MH63_lemma_1
8	MH63_lemma_2	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_lemma_2_rmdup_cut.bw	MH63_lemma_2
9	MH63_panicle_1	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_panicle_1_rmdup_cut.bw	MH63_panicle_1
10	MH63_panicle_2	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_panicle_2_rmdup_cut.bw	MH63_panicle_2
11	MH63_panicle_3	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_panicle_3_rmdup_cut.bw	MH63_panicle_3
12	MH63_panicle_4	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_panicle_4_rmdup_cut.bw	MH63_panicle_4
13	MH63_panicle_5	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_panicle_5_rmdup_cut.bw	MH63_panicle_5
14	MH63_root_1	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_root_1_rmdup_cut.bw	MH63_root_1
15	MH63_root_2	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_root_2_rmdup_cut.bw	MH63_root_2
16	MH63_young_leaf_1	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_young_leaf_1_rmdup_cut.bw	MH63_young_leaf_1
17	MH63_young_leaf_2	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/MH63_young_leaf_2_rmdup_cut.bw	MH63_young_leaf_2
