index	identifier	file	description
1	Sitalica_flag_leaf_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Setaria_italica/basenji/bw_files/Sitalica_flag_leaf_1_rmdup_q30.bw	Sitalica_flag_leaf_1
2	Sitalica_flag_leaf_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Setaria_italica/basenji/bw_files/Sitalica_flag_leaf_2_rmdup_q30.bw	Sitalica_flag_leaf_2
3	Sitalica_flower_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Setaria_italica/basenji/bw_files/Sitalica_flower_1_rmdup_q30.bw	Sitalica_flower_1
4	Sitalica_flower_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Setaria_italica/basenji/bw_files/Sitalica_flower_2_rmdup_q30.bw	Sitalica_flower_2
5	Sitalica_panicle_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Setaria_italica/basenji/bw_files/Sitalica_panicle_1_rmdup_q30.bw	Sitalica_panicle_1
6	Sitalica_panicle_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Setaria_italica/basenji/bw_files/Sitalica_panicle_2_rmdup_q30.bw	Sitalica_panicle_2
7	Sitalica_root_2c_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Setaria_italica/basenji/bw_files/Sitalica_root_2c_1_rmdup_q30.bw	Sitalica_root_2c_1
8	Sitalica_root_4c_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Setaria_italica/basenji/bw_files/Sitalica_root_4c_1_rmdup_q30.bw	Sitalica_root_4c_1
9	Sitalica_young_leaf_2c_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Setaria_italica/basenji/bw_files/Sitalica_young_leaf_2c_1_rmdup_q30.bw	Sitalica_young_leaf_2c_1
10	Sitalica_young_leaf_2c_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Setaria_italica/basenji/bw_files/Sitalica_young_leaf_2c_2_rmdup_q30.bw	Sitalica_young_leaf_2c_2
11	Sitalica_young_leaf_4c_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Setaria_italica/basenji/bw_files/Sitalica_young_leaf_4c_1_rmdup_q30.bw	Sitalica_young_leaf_4c_1
12	Sitalica_young_leaf_4c_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Setaria_italica/basenji/bw_files/Sitalica_young_leaf_4c_2_rmdup_q30.bw	Sitalica_young_leaf_4c_2
