index	identifier	file	description
1	Sorghum_flag_leaf_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_flag_leaf_1_rmdup_q30.bw	Sorghum_flag_leaf_1
2	Sorghum_flag_leaf_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_flag_leaf_2_rmdup_q30.bw	Sorghum_flag_leaf_2
3	Sorghum_flower_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_flower_1_rmdup_q30.bw	Sorghum_flower_1
4	Sorghum_flower_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_flower_2_rmdup_q30.bw	Sorghum_flower_2
5	Sorghum_lemma_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_lemma_1_rmdup_q30.bw	Sorghum_lemma_1
6	Sorghum_lemma_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_lemma_2_rmdup_q30.bw	Sorghum_lemma_2
7	Sorghum_panicle_bottom_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_panicle_bottom_1_rmdup_q30.bw	Sorghum_panicle_bottom_1
8	Sorghum_panicle_bottom_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_panicle_bottom_2_rmdup_q30.bw	Sorghum_panicle_bottom_2
9	Sorghum_panicle_top_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_panicle_top_1_rmdup_q30.bw	Sorghum_panicle_top_1
10	Sorghum_panicle_top_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_panicle_top_2_rmdup_q30.bw	Sorghum_panicle_top_2
11	Sorghum_root_2c_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_root_2c_1_rmdup_q30.bw	Sorghum_root_2c_1
12	Sorghum_root_2c_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_root_2c_2_rmdup_q30.bw	Sorghum_root_2c_2
13	Sorghum_root_4c_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_root_4c_1_rmdup_q30.bw	Sorghum_root_4c_1
14	Sorghum_root_4c_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_root_4c_2_rmdup_q30.bw	Sorghum_root_4c_2
15	Sorghum_young_leaf_2c_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_young_leaf_2c_1_rmdup_q30.bw	Sorghum_young_leaf_2c_1
16	Sorghum_young_leaf_2c_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_young_leaf_2c_2_rmdup_q30.bw	Sorghum_young_leaf_2c_2
17	Sorghum_young_leaf_4c_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_young_leaf_4c_1_rmdup_q30.bw	Sorghum_young_leaf_4c_1
18	Sorghum_young_leaf_4c_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Sorghum_bicolor/basenji/bw_files/Sorghum_young_leaf_4c_2_rmdup_q30.bw	Sorghum_young_leaf_4c_2
