index	identifier	file	description
1	ZS97_flag_leaf_1	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_flag_leaf_1_rmdup_cut.bw	ZS97_flag_leaf_1
2	ZS97_flag_leaf_2	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_flag_leaf_2_rmdup_cut.bw	ZS97_flag_leaf_2
3	ZS97_flower_1	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_flower_1_rmdup_cut.bw	ZS97_flower_1
4	ZS97_flower_2	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_flower_2_rmdup_cut.bw	ZS97_flower_2
5	ZS97_lemma_1	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_lemma_1_rmdup_cut.bw	ZS97_lemma_1
6	ZS97_lemma_2	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_lemma_2_rmdup_cut.bw	ZS97_lemma_2
7	ZS97_panicle_1	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_panicle_1_rmdup_cut.bw	ZS97_panicle_1
8	ZS97_panicle_2	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_panicle_2_rmdup_cut.bw	ZS97_panicle_2
9	ZS97_panicle_3	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_panicle_3_rmdup_cut.bw	ZS97_panicle_3
10	ZS97_panicle_4	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_panicle_4_rmdup_cut.bw	ZS97_panicle_4
11	ZS97_panicle_5	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_panicle_5_rmdup_cut.bw	ZS97_panicle_5
12	ZS97_root_1	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_root_1_rmdup_cut.bw	ZS97_root_1
13	ZS97_root_2	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_root_2_rmdup_cut.bw	ZS97_root_2
14	ZS97_young_leaf_1	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_young_leaf_1_rmdup_cut.bw	ZS97_young_leaf_1
15	ZS97_young_leaf_2	/home/xieweiboXWB/data/ZS_MH_NIP/ZS_MH_bws_no_scale/ZS97_young_leaf_2_rmdup_cut.bw	ZS97_young_leaf_2
