index	identifier	file	description
1	Zmays_ear_big_bottom_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_ear_big_bottom_1_rmdup_q30.bw	Zmays_ear_big_bottom_1
2	Zmays_ear_big_bottom_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_ear_big_bottom_2_rmdup_q30.bw	Zmays_ear_big_bottom_2
3	Zmays_ear_big_top_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_ear_big_top_1_rmdup_q30.bw	Zmays_ear_big_top_1
4	Zmays_ear_big_top_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_ear_big_top_2_rmdup_q30.bw	Zmays_ear_big_top_2
5	Zmays_ear_small_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_ear_small_1_rmdup_q30.bw	Zmays_ear_small_1
6	Zmays_ear_small_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_ear_small_2_rmdup_q30.bw	Zmays_ear_small_2
7	Zmays_flag_leaf_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_flag_leaf_1_rmdup_q30.bw	Zmays_flag_leaf_1
8	Zmays_flag_leaf_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_flag_leaf_2_rmdup_q30.bw	Zmays_flag_leaf_2
9	Zmays_flower_1c_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_flower_1c_1_rmdup_q30.bw	Zmays_flower_1c_1
10	Zmays_flower_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_flower_1_rmdup_q30.bw	Zmays_flower_1
11	Zmays_flower_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_flower_2_rmdup_q30.bw	Zmays_flower_2
12	Zmays_root_2c_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_root_2c_1_rmdup_q30.bw	Zmays_root_2c_1
13	Zmays_root_2c_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_root_2c_2_rmdup_q30.bw	Zmays_root_2c_2
14	Zmays_root_2c_3	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_root_2c_3_rmdup_q30.bw	Zmays_root_2c_3
15	Zmays_root_4c_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_root_4c_1_rmdup_q30.bw	Zmays_root_4c_1
16	Zmays_tassel_bottom_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_tassel_bottom_1_rmdup_q30.bw	Zmays_tassel_bottom_1
17	Zmays_tassel_bottom_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_tassel_bottom_2_rmdup_q30.bw	Zmays_tassel_bottom_2
18	Zmays_tassel_top_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_tassel_top_1_rmdup_q30.bw	Zmays_tassel_top_1
19	Zmays_young_leaf_2c_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_young_leaf_2c_1_rmdup_q30.bw	Zmays_young_leaf_2c_1
20	Zmays_young_leaf_2c_2	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_young_leaf_2c_2_rmdup_q30.bw	Zmays_young_leaf_2c_2
21	Zmays_young_leaf_2c_3	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_young_leaf_2c_3_rmdup_q30.bw	Zmays_young_leaf_2c_3
22	Zmays_young_leaf_4c_1	/public/home/jcli/multiple_ATAC_seq/ATAC_seq/Zea_mays/basenji/bw_files/Zmays_young_leaf_4c_1_rmdup_q30.bw	Zmays_young_leaf_4c_1
